2025-10-24 18:49:24,480 INFO    StreamThr :82342 [internal.py:wandb_internal():86] W&B internal server running at pid: 82342, started at: 2025-10-24 18:49:24.479980
2025-10-24 18:49:24,481 DEBUG   HandlerThread:82342 [handler.py:handle_request():146] handle_request: status
2025-10-24 18:49:24,482 INFO    WriterThread:82342 [datastore.py:open_for_write():85] open: /home/cole/repos/IWoL/MetaDrive/results/MetaDrive/intersection_small/ImIWoL/check/wandb/run-20251024_184924-i8vvbzon/run-i8vvbzon.wandb
2025-10-24 18:49:24,482 DEBUG   SenderThread:82342 [sender.py:send():380] send: header
2025-10-24 18:49:24,506 DEBUG   SenderThread:82342 [sender.py:send():380] send: run
2025-10-24 18:49:24,725 INFO    SenderThread:82342 [dir_watcher.py:__init__():211] watching files in: /home/cole/repos/IWoL/MetaDrive/results/MetaDrive/intersection_small/ImIWoL/check/wandb/run-20251024_184924-i8vvbzon/files
2025-10-24 18:49:24,725 INFO    SenderThread:82342 [sender.py:_start_run_threads():1122] run started: i8vvbzon with start time 1761349764.479831
2025-10-24 18:49:24,731 DEBUG   HandlerThread:82342 [handler.py:handle_request():146] handle_request: check_version
2025-10-24 18:49:24,731 DEBUG   SenderThread:82342 [sender.py:send_request():407] send_request: check_version
2025-10-24 18:49:24,791 DEBUG   HandlerThread:82342 [handler.py:handle_request():146] handle_request: run_start
2025-10-24 18:49:24,801 DEBUG   HandlerThread:82342 [system_info.py:__init__():32] System info init
2025-10-24 18:49:24,801 DEBUG   HandlerThread:82342 [system_info.py:__init__():47] System info init done
2025-10-24 18:49:24,802 INFO    HandlerThread:82342 [system_monitor.py:start():194] Starting system monitor
2025-10-24 18:49:24,802 INFO    SystemMonitor:82342 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-10-24 18:49:24,802 INFO    HandlerThread:82342 [system_monitor.py:probe():214] Collecting system info
2025-10-24 18:49:24,802 INFO    SystemMonitor:82342 [interfaces.py:start():190] Started cpu monitoring
2025-10-24 18:49:24,802 INFO    SystemMonitor:82342 [interfaces.py:start():190] Started disk monitoring
2025-10-24 18:49:24,803 INFO    SystemMonitor:82342 [interfaces.py:start():190] Started gpu monitoring
2025-10-24 18:49:24,803 INFO    SystemMonitor:82342 [interfaces.py:start():190] Started memory monitoring
2025-10-24 18:49:24,804 INFO    SystemMonitor:82342 [interfaces.py:start():190] Started network monitoring
2025-10-24 18:49:24,814 DEBUG   HandlerThread:82342 [system_info.py:probe():196] Probing system
2025-10-24 18:49:24,820 DEBUG   HandlerThread:82342 [system_info.py:_probe_git():181] Probing git
2025-10-24 18:49:24,830 DEBUG   HandlerThread:82342 [system_info.py:_probe_git():189] Probing git done
2025-10-24 18:49:24,830 DEBUG   HandlerThread:82342 [system_info.py:probe():244] Probing system done
